scorer,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000
bodyparts,Snout/Head,Snout/Head,Snout/Head,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder2,Forepaw/Shoulder2,Forepaw/Shoulder2,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip2,Hindpaw/Hip2,Hindpaw/Hip2,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1012.2074584960938,692.0719604492188,1.0,1016.451416015625,649.3179321289062,0.9999992847442627,981.8917236328125,656.36279296875,1.0,1013.9393310546875,577.1093139648438,1.0,962.6919555664062,576.739990234375,0.9999998807907104,991.41162109375,532.159423828125,1.0
1,1012.2135009765625,692.08544921875,1.0,1016.44140625,649.3130493164062,0.9999992847442627,981.8883666992188,656.396728515625,1.0,1013.9459228515625,577.0819091796875,1.0,962.7290649414062,576.6888427734375,0.9999999403953552,991.4928588867188,531.9207763671875,1.0
2,1011.59326171875,698.3970336914062,1.0,1016.8378295898438,654.2363891601562,0.999999463558197,982.8016967773438,660.3750610351562,1.0,1011.9805297851562,581.3057861328125,1.0,963.7798461914062,590.3856201171875,1.0,988.947021484375,535.9205932617188,1.0
3,1011.5298461914062,698.4494018554688,1.0,1016.8820190429688,654.3851928710938,0.9999995231628418,982.9529418945312,660.5360107421875,1.0,1011.8770141601562,581.2770385742188,1.0,963.5125732421875,590.6272583007812,1.0,988.9496459960938,535.9368896484375,1.0
4,1011.5197143554688,698.4658813476562,1.0,1016.8368530273438,654.3246459960938,0.9999995827674866,982.8932495117188,660.5004272460938,1.0,1011.912353515625,581.2425537109375,1.0,963.8218994140625,590.131103515625,1.0,988.9703369140625,535.922119140625,1.0
5,1010.5252685546875,698.8744506835938,1.0,1017.0745239257812,658.9713134765625,0.9999998807907104,983.8927612304688,664.1759643554688,0.9999998807907104,1009.8074951171875,585.4894409179688,0.9999998807907104,963.1427001953125,594.6384887695312,1.0,985.6597290039062,544.1251220703125,1.0
6,1010.6287841796875,698.7785034179688,1.0,1017.0740356445312,658.83935546875,1.0,983.80322265625,663.9413452148438,0.9999998807907104,1009.8548583984375,585.542724609375,0.9999998807907104,963.1770629882812,594.652099609375,1.0,985.8132934570312,543.5440063476562,1.0
7,1010.5802612304688,699.4063720703125,1.0,1017.1476440429688,658.11669921875,0.9999999403953552,983.0347900390625,663.6102294921875,0.9999998807907104,1008.9299926757812,587.3524169921875,0.9999998807907104,961.9605712890625,596.8414306640625,1.0,983.4403686523438,545.572509765625,1.0
