scorer,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000
bodyparts,Snout/Head,Snout/Head,Snout/Head,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder2,Forepaw/Shoulder2,Forepaw/Shoulder2,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip2,Hindpaw/Hip2,Hindpaw/Hip2,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1118.7696533203125,512.2933349609375,0.999893307685852,1084.5953369140625,522.429931640625,0.99998939037323,1102.3685302734375,549.7928466796875,0.9999983906745911,1027.7095947265625,536.4574584960938,0.9999998807907104,1015.2597045898438,580.5921630859375,0.9999614953994751,979.3845825195312,542.9374389648438,1.0
1,1114.4339599609375,503.34991455078125,0.9999983310699463,1081.9586181640625,520.9576416015625,0.9999979734420776,1101.6153564453125,549.0275268554688,0.9999990463256836,1027.4805908203125,536.05126953125,0.9999999403953552,1015.1539306640625,580.4625854492188,0.9999569654464722,979.413330078125,542.7625122070312,1.0
2,1114.0791015625,503.3717346191406,0.9999973177909851,1082.037353515625,520.943359375,0.9999977946281433,1101.8245849609375,548.7718505859375,0.999998927116394,1027.4151611328125,536.0755004882812,1.0,1015.1932373046875,580.6090698242188,0.9999516010284424,979.4273071289062,542.8181762695312,1.0
3,1114.8133544921875,501.8398132324219,0.9999980330467224,1077.7108154296875,520.6939697265625,0.9999995231628418,1099.5374755859375,547.43212890625,0.999999463558197,1027.130126953125,536.9769287109375,0.9999997615814209,1014.9049682617188,581.537109375,0.9999499320983887,979.1826782226562,543.5642700195312,1.0
4,1114.8883056640625,501.94427490234375,0.9999977350234985,1077.9774169921875,520.75390625,0.9999994039535522,1099.4591064453125,547.4789428710938,0.9999994039535522,1027.1060791015625,537.008056640625,0.9999997615814209,1014.9548950195312,581.6134033203125,0.9999538064002991,979.1959838867188,543.666015625,1.0
5,1117.110107421875,506.4674987792969,0.9989726543426514,1076.7225341796875,518.4434204101562,0.9999998211860657,1098.1998291015625,546.018310546875,0.9999980926513672,1026.5697021484375,536.1824951171875,0.9999999403953552,1015.695556640625,582.0216064453125,0.9999347925186157,978.48388671875,544.5360107421875,1.0
6,1117.166748046875,506.4964599609375,0.9992212057113647,1076.5074462890625,518.528564453125,0.9999998211860657,1098.114990234375,546.0257568359375,0.9999982714653015,1026.303955078125,536.1078491210938,0.9999999403953552,1015.6886596679688,582.0133666992188,0.9999362230300903,978.4959716796875,544.539306640625,1.0
7,1117.4169921875,508.1109924316406,0.9917327165603638,1077.46337890625,518.1123046875,0.9999998807907104,1098.388427734375,545.8944091796875,0.999998152256012,1026.230712890625,535.6307983398438,0.9999998807907104,1018.0423583984375,581.3330078125,0.9999406337738037,978.6499633789062,544.3820190429688,1.0
