scorer,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000
bodyparts,Snout/Head,Snout/Head,Snout/Head,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder2,Forepaw/Shoulder2,Forepaw/Shoulder2,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip2,Hindpaw/Hip2,Hindpaw/Hip2,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,989.2175903320312,755.4024047851562,1.0,997.94091796875,704.97021484375,0.9999997615814209,969.1385498046875,705.9187622070312,0.9999998807907104,1007.663330078125,611.7552490234375,0.9999956488609314,960.9603881835938,608.3914184570312,0.9999140501022339,987.6332397460938,575.8404541015625,0.9999924898147583
1,989.2156372070312,755.4295654296875,1.0,997.9263305664062,705.0702514648438,0.9999997615814209,969.1592407226562,705.9896850585938,0.9999998807907104,1007.7409057617188,612.0238647460938,0.9999914169311523,960.9505004882812,608.4615478515625,0.9998846650123596,987.4843139648438,575.8866577148438,0.9999873638153076
2,992.964599609375,766.5862426757812,1.0,1000.8017578125,715.7349853515625,0.9999972581863403,972.3462524414062,718.9759521484375,0.9999997615814209,1009.853271484375,618.8264770507812,0.9999990463256836,964.6563720703125,622.1353759765625,0.9999999403953552,988.8201904296875,584.5348510742188,0.9999998807907104
3,992.964111328125,766.5848999023438,1.0,1000.7949829101562,715.7509765625,0.9999972581863403,972.3471069335938,718.9757080078125,0.9999997615814209,1009.8362426757812,618.8082275390625,0.9999990463256836,964.6832275390625,622.1463012695312,0.9999998807907104,988.820068359375,584.5401000976562,0.9999998807907104
4,992.9639282226562,766.5867309570312,1.0,1000.7969970703125,715.7529296875,0.9999972581863403,972.3451538085938,718.9693603515625,0.9999997615814209,1009.8284301757812,618.7887573242188,0.9999991059303284,964.7135009765625,622.1956787109375,0.9999999403953552,988.804443359375,584.5436401367188,0.9999998807907104
5,997.9495849609375,776.0217895507812,1.0,1002.739501953125,724.7888793945312,0.9999998211860657,973.279541015625,728.5654296875,0.9999992847442627,1010.8102416992188,631.6710815429688,0.9999998807907104,964.5382690429688,647.4526977539062,1.0,987.9835205078125,596.246337890625,1.0
6,1001.959228515625,786.1392822265625,1.0,1003.0602416992188,733.986083984375,0.9999949932098389,972.9620971679688,740.5565795898438,0.9999975562095642,1008.0297241210938,643.1983032226562,0.9999999403953552,962.1846923828125,659.1790161132812,1.0,983.860107421875,605.993408203125,1.0
7,1002.1635131835938,786.7991943359375,0.9999999403953552,1002.7051391601562,733.8294677734375,0.999995231628418,973.0317993164062,740.89599609375,0.9999974966049194,1008.1676635742188,643.3070068359375,0.9999998807907104,962.2230834960938,659.1586303710938,1.0,983.7551879882812,606.0435180664062,1.0
